kepid,mass,mass_errp,mass_errm,radius,radius_errp,radius_errm,density,density_errp,density_errm,logg,logg_errp,logg_errm,age,age_errp,age_errm,ref
9202077,1.38,0.12,0.08,1.97,0.05,0.05,0.1843,0.0055,0.0053,3.9960000000000004,0.013999999999999999,0.013000000000000001,3.7,0.7,0.8,Chaplin et al. (2014)
9204313,0.99,0.15,0.12,1.5,0.08,0.07,0.2912,0.0117,0.0118,4.078,0.021,0.018000000000000002,9.9,3.5,3.4,Chaplin et al. (2014)
9225600,1.35,0.11,0.18,1.79,0.07,0.08,0.2333,0.0123,0.0124,4.0569999999999995,0.019,0.021,3.4,1.5,0.8,Chaplin et al. (2014)
9266926,0.98,0.14,0.12,1.49,0.08,0.07,0.2985,0.0133,0.0135,4.085,0.02,0.018000000000000002,9.8,3.5,3.2,Chaplin et al. (2014)
9273544,1.12,0.12,0.13,1.54,0.07,0.07,0.3045,0.0143,0.0136,4.109,0.015,0.015,6.0,2.5,1.7,Chaplin et al. (2014)
9287845,1.58,0.17,0.19,2.27,0.11,0.1,0.1328,0.0101,0.0094,3.918,0.023,0.024,2.4,1.1,0.7,Chaplin et al. (2014)
9289275,1.36,0.08,0.12,1.78,0.05,0.05,0.2413,0.0071,0.0066,4.069,0.012,0.013999999999999999,3.5,1.1,0.7,Chaplin et al. (2014)
9292130,1.36,0.13,0.13,2.18,0.08,0.08,0.1309,0.0053,0.0053,3.8939999999999997,0.013000000000000001,0.016,3.9,1.0,0.8,Chaplin et al. (2014)
9328372,1.35,0.11,0.18,1.73,0.08,0.08,0.2566,0.0187,0.0187,4.084,0.023,0.024,3.2,1.6,0.8,Chaplin et al. (2014)
9335972,1.26,0.16,0.23,2.2,0.13,0.19,0.1191,0.0084,0.0069,3.852,0.016,0.013000000000000001,5.1,1.8,1.6,Chaplin et al. (2014)
9353712,1.45,0.15,0.14,2.14,0.08,0.08,0.1471,0.0054,0.0049,3.9360000000000004,0.017,0.016,3.1,1.1,0.9,Chaplin et al. (2014)
9353859,1.69,0.14,0.18,3.78,0.16,0.19,0.0313,0.0017,0.0016,3.509,0.013000000000000001,0.013000000000000001,2.2,0.7,0.5,Chaplin et al. (2014)
9390670,1.27,0.12,0.16,1.66,0.07,0.08,0.2732,0.0163,0.016,4.095,0.023,0.024,3.8,1.5,1.1,Chaplin et al. (2014)
9394953,1.09,0.22,0.12,1.69,0.1,0.07,0.2258,0.0071,0.0071,4.019,0.025,0.016,7.6,2.3,2.9,Chaplin et al. (2014)
9402223,1.54,0.16,0.17,2.62,0.12,0.12,0.0849,0.0044,0.0041,3.785,0.017,0.018000000000000002,3.0,0.8,0.8,Chaplin et al. (2014)
9410862,1.09,0.11,0.13,1.21,0.05,0.05,0.6226,0.0213,0.0208,4.312,0.013999999999999999,0.015,4.2,3.1,2.0,Chaplin et al. (2014)
